Time sec,a1-T2°C,a2-T2°C,a3-T2°C,b3-T2°C,b2-T2°C,b1-T2°C,d3-T2°C,e2-T2°C,e1-T2°C,d1-T2°C,d2-T2°C,c3-T2°C,c2-T2°C,c1-T2°C,g1-T2°C,g2-T2°C,f3-T2°C,e3-T2°C,f2-T2°C,f1-T2°C,h1-T2°C,h2-T2°C,g3-T2°C,i2-T2°C,i1-T2°C,j1-T2°C,j2-T2°C,h3-T2°C,i3-T2°C,k2-T2°C,k1-T2°C,j4-T2°C,h5-T2°C,g6-T2°C,f7-T2°C,e7-T2°C,f6-T2°C,g5-T2°C,i4-T2°C,g4-T2°C,f5-T2°C,h4-T2°C,f4-T2°C,e5-T2°C,d6-T2°C,c6-T2°C,d5-T2°C,e4-T2°C,d4-T2°C,c5-T2°C,c4-T2°C,a4-T2°C,a5-T2°C,a6-T2°C,a7-T2°C,b7-T2°C,b6-T2°C,b5-T2°C,b4-T2°C,a4-T1°C,a5-T1°C,a6-T1°C,a7-T1°C,b7-T1°C,b6-T1°C,b5-T1°C,d4-T1°C,c4-T1°C,b4-T1°C,f4-T1°C,f5-T1°C,e5-T1°C,d6-T1°C,e6-T1°C,d7-T1°C,c7-T1°C,c6-T1°C,c5-T1°C,d5-T1°C,e4-T1°C,j4-T1°C,h5-T1°C,g6-T1°C,f7-T1°C,e7-T1°C,f6-T1°C,g5-T1°C,g4-T1°C,h4-T1°C,i4-T1°C,a1-T1°C,a2-T1°C,a3-T1°C,b3-T1°C,d2-T1°C,d1-T1°C,c1-T1°C,c2-T1°C,b2-T1°C,b1-T1°C,g3-T1°C,g2-T1°C,g1-T1°C,f1-T1°C,f2-T1°C,f3-T1°C,e3-T1°C,d3-T1°C,c3-T1°C,e2-T1°C,e1-T1°C,k1-T1°C,k2-T1°C,i3-T1°C,h3-T1°C,h2-T1°C,h1-T1°C,i1-T1°C,i2-T1°C,j2-T1°C,j1-T1°C,
0,16.5,16.5,16.6,16.5,16.4,16.4,16.3,16.5,16.6,16.4,16.4,16.5,16.5,16.4,16.4,16.4,16.4,16.4,16.6,16.5,16.3,16.3,16.4,16.4,16.4,16.8,16.4,16.3,16.4,16.4,16.3,16.6,17.9,16.9,16.6,16.5,16.4,16.5,16.6,16.3,16.4,16.6,16.4,16.3,16.4,16.5,16.5,16.6,16.5,16.3,16.5,16.8,16.9,16.7,16.9,16.7,16.8,16.7,16.6,18.3,18.2,18.4,18.4,18.4,18.5,18.3,17.9,18.1,17.9,17.9,17.9,18.0,18.1,18.1,0.0,0.0,18.1,17.9,17.9,17.9,17.9,18.5,18.4,18.3,18.2,18.2,18.2,17.9,17.9,18.0,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,21.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,
82,19.9,20.1,19.9,18.4,18.3,18.9,17.9,18.1,18.2,18.3,18.8,18.8,18.8,19.9,17.9,20.0,18.6,18.4,20.8,18.1,18.1,17.9,17.9,18.1,18.9,22.5,18.1,18.1,18.4,18.6,18.3,18.9,27.9,23.9,20.6,17.9,19.9,20.3,20.5,19.9,18.6,21.9,19.9,18.7,19.9,18.3,20.4,19.9,18.9,18.4,23.9,23.9,23.9,21.9,22.1,21.9,22.4,22.6,20.5,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,18.9,18.9,18.8,18.9,19.9,0.0,0.0,0.0,19.9,18.9,18.9,18.9,18.9,19.9,19.9,19.9,19.9,19.9,19.9,18.9,18.8,19.9,18.5,18.9,18.8,18.9,18.7,18.5,18.6,18.7,18.8,18.4,18.4,18.4,18.3,18.6,18.6,18.4,18.6,18.6,18.6,18.6,22.4,18.6,18.6,18.7,18.3,18.4,18.6,18.6,18.5,18.6,18.6,
142,20.4,20.7,20.6,19.9,18.8,19.9,18.4,18.5,18.6,18.8,19.9,19.9,19.9,19.9,17.9,20.5,19.9,18.8,21.9,18.6,18.3,18.1,18.3,18.3,19.9,23.9,18.5,18.4,18.9,18.9,18.6,19.9,29.9,24.3,21.9,18.5,20.3,20.9,21.9,19.9,18.9,21.9,19.9,19.9,19.9,18.7,20.9,20.4,19.9,18.8,24.0,24.3,24.8,22.6,22.9,22.6,23.9,23.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,20.9,20.4,20.6,20.7,0.0,0.0,0.0,20.7,20.6,20.8,20.7,20.7,21.9,21.9,21.9,20.9,20.9,20.9,20.7,20.7,20.9,20.4,20.7,20.7,20.6,20.3,20.0,20.4,20.5,20.6,20.1,19.9,20.2,19.9,20.1,20.1,20.2,20.3,20.2,20.5,20.1,23.9,20.3,20.3,20.3,19.9,20.0,20.3,20.3,20.1,20.3,20.4,
202,20.8,21.9,21.9,19.9,19.9,19.9,18.6,18.8,18.9,18.9,19.9,19.9,19.9,20.1,18.1,20.8,19.9,19.9,21.9,18.8,18.5,18.3,18.4,18.4,19.9,23.9,18.8,18.6,19.9,19.9,18.8,19.9,30.3,24.9,21.9,18.8,20.7,21.9,21.9,19.9,19.9,22.1,19.9,19.9,20.2,18.9,21.9,20.6,19.9,19.9,24.5,24.8,25.9,23.9,23.9,23.9,23.9,24.1,21.9,22.9,23.9,23.9,23.9,23.9,22.6,22.9,22.8,22.8,23.9,22.3,21.9,22.0,22.2,0.0,0.0,0.0,22.3,22.3,22.6,21.9,22.0,23.9,22.9,22.8,22.4,22.6,22.6,22.1,22.1,22.3,21.9,22.2,22.3,22.1,21.9,21.9,21.9,22.0,22.0,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,24.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,22.0,
262,20.9,21.9,21.9,19.9,19.9,19.9,18.7,18.9,19.9,19.9,19.9,19.9,19.9,20.3,18.2,20.9,19.9,19.9,22.2,18.9,18.6,18.3,18.6,18.5,18.6,24.2,18.8,18.7,19.9,19.9,18.9,19.9,31.9,25.9,22.1,18.9,20.9,21.9,21.9,19.9,19.9,22.4,19.9,19.9,20.4,19.9,21.9,20.8,19.9,19.9,24.9,25.9,26.0,23.9,23.9,23.9,23.9,24.4,21.9,24.1,24.5,24.6,24.9,24.3,23.9,24.2,24.1,24.2,24.3,23.9,22.9,23.9,23.9,0.0,0.0,0.0,23.9,23.9,23.9,23.9,23.9,25.9,24.3,24.2,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,22.5,22.1,22.9,23.9,23.9,22.5,21.9,22.6,22.0,22.1,22.4,22.6,22.4,22.3,22.9,22.1,25.9,22.5,22.5,22.5,22.2,22.2,22.5,22.6,22.2,22.6,23.9,
322,21.9,21.9,21.9,19.9,19.9,19.9,18.8,19.9,19.9,19.9,19.9,20.1,19.9,20.4,18.3,21.9,19.9,19.9,22.4,19.9,18.7,18.4,18.6,18.6,19.9,24.4,18.9,18.8,19.9,19.9,18.9,19.9,31.9,25.9,22.3,18.9,21.9,21.9,22.1,19.9,19.9,22.6,20.1,19.9,20.6,19.9,21.9,20.9,19.9,19.9,25.9,25.9,26.4,23.9,24.3,23.9,24.2,24.7,22.0,25.9,25.9,25.9,26.2,25.9,24.7,25.9,25.9,25.9,25.9,24.3,23.9,23.9,24.3,0.0,0.0,0.0,24.4,24.3,24.8,23.9,23.9,26.7,25.9,25.9,24.4,24.7,24.9,23.9,24.2,24.3,23.9,24.1,24.2,24.0,23.9,22.6,23.9,23.9,23.9,23.9,22.6,23.9,22.6,22.6,23.9,23.9,23.9,22.9,23.9,22.7,22.7,23.9,23.9,23.9,22.9,22.8,23.9,23.9,22.8,23.9,23.9,
624,21.9,21.9,21.9,19.9,19.9,20.2,19.9,19.9,19.9,19.9,19.9,20.4,20.1,20.7,18.4,21.9,19.9,19.9,22.8,19.9,18.8,18.6,18.8,18.8,19.9,24.8,19.9,19.9,19.9,19.9,19.9,20.1,32.7,26.4,22.8,19.9,21.9,22.2,22.4,20.1,19.9,22.9,20.3,19.9,20.9,19.9,22.0,21.9,20.0,19.9,25.9,26.1,27.9,24.5,25.9,24.3,24.8,25.9,22.4,27.9,28.2,28.3,28.9,27.9,26.9,27.9,27.9,27.9,27.9,26.2,25.9,25.9,26.2,0.0,0.0,0.0,26.4,26.3,26.9,25.9,25.9,29.9,27.9,27.9,26.4,26.7,27.9,25.9,26.1,26.1,25.9,26.0,26.2,25.9,24.8,24.1,25.9,25.9,25.9,24.9,23.9,24.8,24.1,24.0,24.8,25.9,24.8,24.6,25.9,24.1,27.9,24.5,24.9,24.9,24.4,24.3,24.8,24.6,24.1,24.8,25.9,
923,21.9,21.9,21.9,20.1,19.9,20.3,19.9,19.9,19.9,19.9,20.0,20.5,20.2,20.8,18.4,21.9,19.9,19.9,22.9,19.9,18.9,18.6,18.8,18.8,19.9,24.9,19.9,19.9,19.9,19.9,19.9,20.1,32.9,26.6,22.9,19.9,21.9,22.3,22.5,20.1,19.9,23.9,20.4,19.9,21.9,19.9,22.1,21.9,20.1,19.9,25.9,26.3,27.9,24.6,25.9,24.4,24.9,25.9,22.6,27.9,28.9,29.9,29.9,28.4,27.9,28.1,27.9,28.0,28.4,26.7,25.9,26.1,26.8,0.0,0.0,0.0,27.9,26.8,27.9,26.1,25.9,30.3,28.4,28.1,26.9,27.9,27.9,26.1,26.6,26.6,26.1,26.6,26.8,26.3,25.9,24.4,25.9,26.0,26.1,25.9,24.3,25.9,24.4,24.3,25.9,25.9,25.9,25.9,26.2,24.5,27.9,24.9,25.9,25.9,24.8,24.6,25.9,24.9,24.5,25.9,25.9,
1225,21.9,21.9,22.0,20.1,19.9,20.3,19.9,19.9,19.9,19.9,20.0,20.5,20.2,20.8,18.4,21.9,19.9,19.9,22.9,19.9,18.9,18.6,18.8,18.8,19.9,25.9,19.9,19.9,19.9,19.9,19.9,20.1,33.9,26.7,23.9,19.9,21.9,22.3,22.5,20.1,19.9,23.9,20.4,19.9,21.9,19.9,22.1,21.9,20.1,19.9,25.9,26.3,27.9,24.8,25.9,24.5,24.9,25.9,22.6,27.9,29.9,29.9,30.1,28.7,27.9,28.4,28.1,28.3,28.8,26.9,26.2,26.4,27.9,0.0,0.0,0.0,27.9,27.9,27.9,26.3,26.1,30.5,28.6,28.4,27.9,27.9,27.9,26.3,26.9,26.8,26.2,26.8,26.9,26.6,25.9,24.6,25.9,26.2,26.3,25.9,24.5,25.9,24.5,24.4,25.9,25.9,25.9,25.9,26.4,24.6,27.9,25.9,25.9,25.9,25.9,24.8,25.9,25.9,24.6,25.9,26.1,
1523,21.9,21.9,22.0,20.1,19.9,20.3,19.9,19.9,19.9,19.9,20.0,20.6,20.2,20.8,18.4,21.9,19.9,19.9,23.9,19.9,18.9,18.7,18.9,18.8,19.9,25.9,19.9,19.9,19.9,19.9,19.9,20.2,33.9,26.8,23.9,19.9,21.9,22.4,22.6,20.1,19.9,23.9,20.4,19.9,19.9,19.9,22.1,21.9,20.1,19.9,25.9,26.3,27.9,24.8,25.9,24.5,25.9,25.9,22.7,28.0,29.9,29.9,30.2,28.8,28.0,28.6,28.2,28.4,28.8,27.9,26.3,26.5,27.9,0.0,0.0,0.0,27.9,27.9,27.9,26.4,26.1,30.6,28.8,28.6,27.9,27.9,28.0,26.4,26.9,26.9,26.3,26.8,27.9,26.6,25.9,24.6,25.9,26.3,26.3,25.9,24.6,25.9,24.6,24.5,25.9,25.9,25.9,25.9,26.5,24.6,27.9,25.9,25.9,25.9,25.9,24.8,25.9,25.9,24.7,25.9,26.1,
1824,21.9,21.9,22.1,20.2,19.9,20.4,19.9,19.9,19.9,19.9,20.0,20.5,20.3,20.8,18.5,21.9,19.9,19.9,23.9,19.9,18.9,18.6,18.9,18.8,19.9,25.9,19.9,19.9,19.9,19.9,19.9,20.3,33.9,26.8,23.9,19.9,21.9,22.4,22.6,20.2,19.9,23.9,20.4,19.9,21.9,19.9,22.1,21.9,20.1,19.9,25.9,26.4,27.9,24.8,25.9,24.6,25.9,25.9,22.6,28.1,29.9,29.9,30.3,28.9,28.1,28.6,28.3,28.4,28.9,27.9,26.4,26.6,27.9,0.0,0.0,0.0,27.9,27.9,28.0,26.5,26.3,30.7,28.9,28.6,27.9,27.9,28.1,26.4,27.9,26.9,26.3,26.9,27.9,26.7,25.9,24.7,25.9,26.3,26.4,25.9,24.6,25.9,24.6,24.6,25.9,25.9,25.9,25.9,26.6,24.7,28.0,25.9,25.9,25.9,25.9,24.9,25.9,25.9,24.8,25.9,26.2,
2126,21.9,21.9,22.0,20.2,19.9,20.3,19.9,19.9,19.9,19.9,20.0,20.6,20.2,20.8,18.4,21.9,20.0,19.9,23.9,19.9,18.9,18.6,18.9,18.8,19.9,25.9,19.9,19.9,19.9,19.9,19.9,20.2,33.9,26.8,23.9,19.9,21.9,22.4,22.6,20.2,19.9,23.9,20.4,19.9,21.9,19.9,22.1,21.9,20.1,19.9,25.9,26.4,27.9,24.8,25.9,24.6,25.9,25.9,22.6,28.1,29.9,29.9,30.4,28.9,28.1,28.7,28.3,28.4,28.9,27.9,26.4,26.6,27.9,0.0,0.0,0.0,27.9,27.9,28.0,26.5,26.3,30.8,28.9,28.7,27.9,27.9,28.1,26.4,27.9,27.9,26.3,26.9,27.9,26.7,25.9,24.7,25.9,26.3,26.4,25.9,24.6,25.9,24.6,24.6,25.9,25.9,25.9,25.9,26.6,24.8,27.9,25.9,25.9,25.9,25.9,24.9,25.9,25.9,24.8,25.9,26.2,
2422,21.9,22.0,22.0,20.2,19.9,20.4,19.9,19.9,19.9,19.9,20.0,20.5,20.2,20.8,18.5,21.9,19.9,19.9,23.9,19.9,18.9,18.6,18.9,18.8,19.9,25.9,19.9,19.9,19.9,19.9,25.9,20.2,33.9,26.8,23.9,19.9,21.9,22.4,22.6,20.2,19.9,23.9,20.4,19.9,21.9,19.9,22.1,21.9,20.1,19.9,25.9,26.4,27.9,24.8,25.9,24.6,25.9,25.9,22.6,28.1,29.9,29.9,30.4,29.9,28.1,28.7,28.3,28.4,28.9,27.9,26.4,26.6,27.9,0.0,0.0,0.0,27.9,27.9,28.0,26.5,26.3,30.8,28.9,28.7,27.9,27.9,28.1,26.4,27.9,27.9,26.3,26.9,27.9,26.7,25.9,24.7,25.9,26.3,26.4,25.9,24.6,25.9,24.6,24.6,25.9,25.9,25.9,25.9,26.6,24.7,27.9,26.2,25.9,25.9,25.9,24.9,25.9,25.9,24.8,25.9,26.2,
2722,21.9,22.0,22.1,20.2,19.9,20.3,19.9,19.9,19.9,19.9,20.1,20.6,20.3,20.8,18.4,23.9,19.9,19.9,23.9,19.9,18.9,18.6,18.9,18.8,19.9,24.9,19.9,19.9,19.9,19.9,19.9,20.2,33.9,26.8,23.9,19.9,21.9,22.4,22.6,20.1,19.9,23.9,20.4,20.0,21.9,19.9,22.2,21.9,20.1,19.9,25.9,26.4,27.9,24.8,25.9,24.6,25.9,25.9,22.7,28.2,29.9,29.9,30.4,29.9,28.1,28.7,28.3,28.5,29.9,27.9,26.4,26.6,27.9,0.0,0.0,0.0,27.9,27.9,28.0,26.5,26.3,30.8,28.9,28.7,27.9,27.9,28.1,26.4,27.9,27.9,26.3,26.9,27.9,26.8,25.9,24.7,25.9,26.3,26.4,25.9,24.6,25.9,24.6,24.6,25.9,25.9,25.9,25.9,26.6,24.8,28.0,25.9,25.9,25.9,25.9,24.9,25.9,25.9,24.8,25.9,26.2,
